"","workerid","feedback_seenBefore","feedback_anyProblems","feedback_problemDescription","feedback_comments","feedback_1"
"275","6a14c736578656591db6ea31",NA,NA,NA,NA,0
"276","6a14c84872f3851ab32e8c01",NA,NA,NA,NA,0
"277","6a14e67cf20909f60e34ae64",NA,NA,NA,NA,0
"278","6a14ed7d826b3c0b54334269",NA,NA,NA,NA,0
"279","6a150fcbc5238897c2c9408e",NA,NA,NA,NA,0
"280","6a1582166cefcdcbed565058",NA,NA,NA,NA,0
"281","6a15d5fb80117206e7200cf7",NA,NA,NA,NA,0
"282","6a15dfdb880253e5b6b917f3",NA,NA,NA,NA,0
"283","6a177f7ec67996448d9c7d41",NA,NA,NA,NA,0
"284","6a18b37c0157d881234ed29f",NA,NA,NA,NA,0
"285","6a199661a2f63c5bf9835b2e",NA,NA,NA,NA,0
"286","6a1a3e6d47ea4b557072cc4d",NA,NA,NA,NA,0
"287","6a1ae40320c9511f890515f7",NA,NA,NA,NA,0
"288","6a1b544246f12219f033d3c3",NA,NA,NA,NA,0
"289","6a1cb95bf369926ac77ea9e5",NA,NA,NA,NA,0
"290","6a1de36b3f5c6160ff6bf6a4",NA,NA,NA,NA,0
"291","6a1f0ef7a64d44c972d3a5f7",NA,NA,NA,NA,0
"292","6a1f832105dd8c89b5e930ad",NA,NA,NA,NA,0
"293","6a2222ff6e1036656b0d5d08",NA,NA,NA,NA,0
"294","6a232745f21e165e2b54ed58",NA,NA,NA,NA,0
"295","6a2482e9af72b55296872b0d",NA,NA,NA,NA,0
"296","6a2589e7b0645f2f7f1cc52c",NA,NA,NA,NA,0
"297","6a3607f677860830aca5bdeb",NA,NA,NA,NA,0
"298","62c5f85ccf34c8d9c0650f6e",NA,NA,NA,NA,0
"299","65465c5bc5a014ec683d55cf",NA,NA,NA,NA,0
"300","661c09a749790db73f8faba5",NA,NA,NA,NA,0
"301","66315563a848526fcfa7555b",NA,NA,NA,NA,0
"302","665795d82a087799023aaf0e",NA,NA,NA,NA,0
"303","66da162f5538535e93490441",NA,NA,NA,NA,0
"304","676956116c1a3416bf7b2afe",NA,NA,NA,NA,0
"305","695ea002344d7ca1605c747a",NA,NA,NA,NA,0
"306","6965bd850ce22095dd7a84ca",NA,NA,NA,NA,0
"307","6978d830c5d415696508430d",NA,NA,NA,NA,0
"308","697a495862ac67423e8418b8",NA,NA,NA,NA,0
"309","6980dfb784202dcf9736910f",NA,NA,NA,NA,0
"310","69864a705614c15728117b35",NA,NA,NA,NA,0
"311","6987875a0a8fa6ed9ef00726",NA,NA,NA,NA,0
"312","699b610e2ba4bade6f39121b",NA,NA,NA,NA,0
"313","699cebf39bc275a312ffd51c",NA,NA,NA,NA,0
"314","699d45af20adaa6e1e89aa5a",NA,NA,NA,NA,0
"315","699e3cc79b0d3d96b469ca49",NA,NA,NA,NA,0
"316","69a0734d1d433d3694c8438f",NA,NA,NA,NA,0
"317","69a6eb2bc679065ed1cecc51",NA,NA,NA,NA,0
"318","69a8cff018bead25e4a5d848",NA,NA,NA,NA,0
"319","69b19e44edf4d70aee145c16",NA,NA,NA,NA,0
"320","69b3193cce0978ad6db9fe7c",NA,NA,NA,NA,0
"321","69b5c6bdbcf55371066f5e73",NA,NA,NA,NA,0
"322","69ba37faee13f176e7635323",NA,NA,NA,NA,0
"323","69bdf2afe629d42bfc47997f",NA,NA,NA,NA,0
"324","69c093d33989aa791c4e8b2d",NA,NA,NA,NA,0
"325","69c1256faa88d6296c98d745",NA,NA,NA,NA,0
"326","69c2f0033339865c279814ca",NA,NA,NA,NA,0
"327","69c6ec3a92185003cf70ded5",NA,NA,NA,NA,0
"328","69cc1fac2b52b1c4dd21cc7d",NA,NA,NA,NA,0
"329","69cec122e3cb56c2e7000c6b",NA,NA,NA,NA,0
"330","69d2a8765e19038ab2fc0f56",NA,NA,NA,NA,0
"331","69d5632f4815bcc4cb7242bf",NA,NA,NA,NA,0
"332","69d5c4d748bcaf8026c80573",NA,NA,NA,NA,0
"333","69daf476f6bc0d990581aca6",NA,NA,NA,NA,0
"334","69dbf4749918745fc7d8e820",NA,NA,NA,NA,0
"335","69dc76f0a77a620367d666ec",NA,NA,NA,NA,0
"336","69dfe696c433039b7add8013",NA,NA,NA,NA,0
"337","69e599577d00fb31c54fb004",NA,NA,NA,NA,0
